customer_id,tenure,monthly_charges,total_charges,contract_type,payment_method,paperless_billing,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
CUST000000,52,57.29548916222804,3112.6501206973353,Month-to-month,Electronic check,Yes,DSL,No,No,Yes,No,No,No,Yes
CUST000001,15,95.72859745338171,1261.6176134605346,Month-to-month,Credit card,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes
CUST000002,72,20.0,1719.9182726076388,One year,Electronic check,Yes,DSL,Yes,Yes,No,Yes,No,Yes,No
CUST000003,61,75.22965056831401,3844.2533037674107,Month-to-month,Electronic check,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
CUST000004,21,65.767140092283,1491.0052939212198,Month-to-month,Bank transfer,Yes,DSL,No,Yes,No,No,No,No,No
CUST000005,24,22.674484087826514,577.8545435625174,Two year,Electronic check,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No
CUST000006,3,20.0,57.137985720522245,Two year,Electronic check,Yes,DSL,No,No,Yes,Yes,No,Yes,No
CUST000007,22,95.31035008824733,2236.5708505466696,Two year,Mailed check,Yes,DSL,Yes,No,Yes,Yes,No,No,No
CUST000008,53,93.8837207105208,4817.817944088976,Month-to-month,Credit card,No,Fiber optic,No,No,No,Yes,Yes,Yes,No
CUST000009,2,70.17675288903078,130.87316759771923,Month-to-month,Mailed check,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
CUST000010,30,116.49973329364173,3659.1025527948514,Month-to-month,Bank transfer,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
CUST000011,38,78.22904545583806,2673.482966323468,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
CUST000012,2,102.49415958233647,200.39135035890084,Month-to-month,Electronic check,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
CUST000013,64,77.60973761553562,4671.894237370702,Month-to-month,Credit card,No,DSL,No,Yes,Yes,No,Yes,No,No
CUST000014,60,56.725713031940245,3289.1907184485335,Two year,Electronic check,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
CUST000015,21,33.27406245699973,728.9924523092086,One year,Credit card,No,DSL,Yes,No,No,No,Yes,No,No
CUST000016,33,46.89691235291711,1455.6140803371081,Month-to-month,Bank transfer,Yes,Fiber optic,No,No,Yes,No,No,No,No
CUST000017,58,57.28633186258345,3258.7055652754707,Month-to-month,Credit card,No,Fiber optic,Yes,No,No,Yes,No,Yes,Yes
CUST000018,22,105.89459306320116,2212.464251646466,One year,Electronic check,Yes,DSL,No,No,Yes,Yes,Yes,No,No
CUST000019,49,88.0975867558899,4940.123596489885,Month-to-month,Mailed check,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
CUST000020,59,74.90957204727849,4571.087944746367,Two year,Electronic check,No,Fiber optic,No,No,No,No,No,No,No
CUST000021,42,91.10029722692224,3910.415801221063,Month-to-month,Electronic check,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
CUST000022,60,80.82151147077447,5180.700187311037,Month-to-month,Bank transfer,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Yes
CUST000023,15,72.85812833320479,1027.9406251352834,Month-to-month,Electronic check,No,DSL,No,Yes,Yes,Yes,No,No,Yes
CUST000024,62,20.04021795479136,1349.2556660200655,Month-to-month,Bank transfer,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
CUST000025,62,99.1747271858503,6361.692003227522,One year,Electronic check,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes
CUST000026,47,51.24464457420572,2032.557987193176,One year,Mailed check,Yes,Fiber optic,No,Yes,No,No,Yes,No,No
CUST000027,62,97.65620832867633,,One year,Credit card,Yes,DSL,No,No,No,No,No,Yes,No
CUST000028,51,100.55630874532669,4834.876542429307,Month-to-month,Mailed check,No,Fiber optic,No,No,Yes,No,No,Yes,No
CUST000029,55,44.8988241933396,2143.221319345074,One year,Bank transfer,Yes,Fiber optic,No,Yes,No,No,No,Yes,No
CUST000030,64,93.49148241787813,5840.882033022253,One year,Bank transfer,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,No
CUST000031,3,54.17037562232305,146.03675653368416,Two year,Credit card,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No
CUST000032,51,54.349030170598276,2744.713657585969,Month-to-month,Mailed check,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes
